sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0012,apache/commons-compress,f799902cd2dc297fa6b50832ea84b52e87bcc636,src/main/java/org/apache/commons/compress/compressors/gzip/GzipParameters.java,method,from,public static OS from(final int code) throws CompressException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.compressors.gzip.GzipParameters.setOperatingSystem(int) now throws CompressorException on illegal input
sample_0013,apache/commons-compress,f799902cd2dc297fa6b50832ea84b52e87bcc636,src/main/java/org/apache/commons/compress/compressors/gzip/GzipParameters.java,method,setOperatingSystem,public void setOperatingSystem(final int operatingSystem) throws CompressException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.compressors.gzip.GzipParameters.setOperatingSystem(int) now throws CompressorException on illegal input
sample_0014,apache/commons-compress,e2340561e499d8f1eb606fd3d20c2900437eee2a,src/main/java/org/apache/commons/compress/utils/InputStreamStatistics.java,method,getCompressedCount,long getCompressedCount() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-598,NullPointerException in ZipArchiveInputStream.getCompressedCount()
sample_0015,apache/commons-compress,08856525bec4bba25f45db450c7ab363dc25c91e,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveEntry.java,method,getHeaderPadCount,@Deprecated public int getHeaderPadCount() throws ArchiveException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.archivers.cpio.CpioArchiveEntry now throws ArchiveException instead of Arithmetic exception
sample_0016,apache/commons-compress,212e7a280c925ca6d53dd43120f75ff2195a552b,src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java,method,createBoundedInputStream,"private BoundedArchiveInputStream createBoundedInputStream(final long start, final long remaining) throws ArchiveException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.archivers.zip.ZipFile.createBoundedInputStream(long long) now throws an ArchiveException instead of IllegalArgumentException
sample_0017,apache/commons-compress,212e7a280c925ca6d53dd43120f75ff2195a552b,src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java,method,getContentBeforeFirstLocalFileHeader,public InputStream getContentBeforeFirstLocalFileHeader() throws ArchiveException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,org.apache.commons.compress.archivers.zip.ZipFile.createBoundedInputStream(long long) now throws an ArchiveException instead of IllegalArgumentException
sample_0018,apache/commons-compress,fc9bb924edef470dc96c258ae2ce164343586664,src/main/java/org/apache/commons/compress/compressors/zstandard/ZstdCompressorOutputStream.java,class,ZstdCompressorOutputStream,public class ZstdCompressorOutputStream extends CompressorOutputStream<ZstdOutputStream>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,#666,Adds a builder to ZstdCompressorOutputStream to configure almost all
sample_0019,apache/commons-compress,5829240bfd3531639767e40ddf9608b84d3b235c,src/main/java/org/apache/commons/compress/compressors/xz/XZCompressorInputStream.java,class,XZCompressorInputStream,public class XZCompressorInputStream extends CompressorInputStream implements InputStreamStatistics,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add org.apache.commons.compress.compressors.xz.XZCompressorInputStream.builder/Builder()
sample_0020,apache/commons-compress,5829240bfd3531639767e40ddf9608b84d3b235c,src/main/java/org/apache/commons/compress/compressors/xz/XZCompressorInputStream.java,method,XZCompressorInputStream,"@Deprecated public XZCompressorInputStream(final InputStream inputStream, final boolean decompressConcatenated) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add org.apache.commons.compress.compressors.xz.XZCompressorInputStream.builder/Builder()
sample_0021,apache/commons-compress,5829240bfd3531639767e40ddf9608b84d3b235c,src/main/java/org/apache/commons/compress/compressors/xz/XZCompressorOutputStream.java,class,XZCompressorOutputStream,public class XZCompressorOutputStream extends CompressorOutputStream<XZOutputStream>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add org.apache.commons.compress.compressors.xz.XZCompressorInputStream.builder/Builder()
sample_0022,apache/commons-compress,55ecb7f1b8f58408c525fef742dcf27d51efebf3,src/main/java/org/apache/commons/compress/compressors/lzma/LZMACompressorInputStream.java,method,LZMACompressorInputStream,"@Deprecated public LZMACompressorInputStream(final InputStream inputStream, final int memoryLimitKiB) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add org.apache.commons.compress.compressors.lzma.LZMACompressorInputStream.builder/Builder()
sample_0023,apache/commons-compress,5ff5ab49fac76ec196449743bead015c32915d36,src/main/java/org/apache/commons/compress/utils/FileNameUtils.java,method,getExtension,@Deprecated public static String getExtension(final Path path),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reuse PathUtils#getExtension(Path)
sample_0024,apache/commons-compress,d4615b412b256317bcdff3bf018ff60d5355409e,src/main/java/org/apache/commons/compress/utils/FileNameUtils.java,method,getBaseName,@Deprecated public static String getBaseName(final Path path),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Reuse PathUtils#getBaseName(Path)
sample_0025,apache/commons-compress,2643070b86ce1890bf87b5ae15947036235da6d7,src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentConstantPool.java,method,getClassPoolEntry,public ConstantPoolEntry getClassPoolEntry(final String name) throws Pack200Exception,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Some org.apache.commons.compress.harmony.unpack200 methods now throws Pack200Exception instead of Error on some bad inputs and states
sample_0026,apache/commons-compress,2643070b86ce1890bf87b5ae15947036235da6d7,src/main/java/org/apache/commons/compress/harmony/unpack200/bytecode/forms/ByteCodeForm.java,method,setByteCodeOperands,"public abstract void setByteCodeOperands(ByteCode byteCode, OperandManager operandManager, int codeLength) throws Pack200Exception",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Some org.apache.commons.compress.harmony.unpack200 methods now throws Pack200Exception instead of Error on some bad inputs and states
sample_0027,apache/commons-compress,314e98a63ffc3ed34c68cc11a1fe0db974648fba,src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java,method,GzipCompressorInputStream,"@Deprecated public GzipCompressorInputStream(final InputStream inputStream, final boolean decompressConcatenated) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add GzipCompressorInputStream.Builder allowing to customize the file name and comment Charsets
sample_0028,apache/commons-compress,cf68aae727161b55ff0239730899411ba3f5eef2,src/main/java/org/apache/commons/compress/archivers/zip/ZipUtil.java,method,signedByteToUnsignedInt,@Deprecated public static int signedByteToUnsignedInt(final byte b),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate ZipUtil.signedByteToUnsignedInt(byte) in favor of Byte.toUnsignedInt(byte)
sample_0029,apache/commons-compress,83faff73459d9af4696aec3842e51737f4b61e57,src/main/java/org/apache/commons/compress/compressors/gzip/GzipParameters.java,method,setModificationTime,public void setModificationTime(final long modificationTime),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix Javadoc
sample_0030,apache/commons-compress,4c2093e274e5b47213bfa77e41c97cc75989d8d1,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveSparseZeroInputStream.java,method,read,@Override public int read(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove exception from internal method signature
sample_0031,apache/commons-compress,26c7478b26a2bbc76c371ef72ab5f4663a38632b,src/main/java/org/apache/commons/compress/compressors/xz/XZCompressorOutputStream.java,class,XZCompressorOutputStream,public class XZCompressorOutputStream extends CompressorOutputStream<XZOutputStream>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,CompressorOutputStream now extends FilterOutputStream
sample_0032,apache/commons-compress,fec9f1c10efa7bd0e5b113b8e545121f10ae257c,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,isUnixTime,@Deprecated public static boolean isUnixTime(final FileTime time),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#513,Upgrade commons-io from 2.15.1 to 2.16.1 https://github.com/apache/commons-compress/pull/513/files
sample_0033,apache/commons-compress,fec9f1c10efa7bd0e5b113b8e545121f10ae257c,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,toNtfsTime,@Deprecated public static long toNtfsTime(final long javaTime),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#513,Upgrade commons-io from 2.15.1 to 2.16.1 https://github.com/apache/commons-compress/pull/513/files
sample_0034,apache/commons-compress,fec9f1c10efa7bd0e5b113b8e545121f10ae257c,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,unixTimeToFileTime,@Deprecated public static FileTime unixTimeToFileTime(final long time),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#513,Upgrade commons-io from 2.15.1 to 2.16.1 https://github.com/apache/commons-compress/pull/513/files
sample_0035,apache/commons-compress,1a6e7cdb6408d823c7352f6a2455df9262955c87,src/main/java/org/apache/commons/compress/archivers/ArchiveInputStream.java,method,reset,@Override public synchronized void reset() throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-661,ArchiveInputStream markSupported should always return false
sample_0036,apache/commons-compress,234b46697fd8b61e35ed58ccdfe63a38963e21f7,src/main/java/org/apache/commons/compress/archivers/ArchiveStreamFactory.java,method,setEntryEncoding,@Deprecated public void setEntryEncoding(final String entryEncoding),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused field
sample_0037,apache/commons-compress,f64639c6c4e3fc47662c0b3f4572204a0bcf7c3d,src/main/java/org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java,method,getPath,private String getPath(final DumpArchiveEntry entry) throws DumpArchiveException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Test duplicate nodes
sample_0038,apache/commons-compress,a662a22c5a6e2adc4619d8161a3a5155b5697cfc,src/main/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java,method,createExtraField,public static ZipExtraField createExtraField(final ZipShort headerId),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused exceptions
sample_0039,apache/commons-compress,a662a22c5a6e2adc4619d8161a3a5155b5697cfc,src/main/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java,method,createExtraFieldNoDefault,public static ZipExtraField createExtraFieldNoDefault(final ZipShort headerId),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused exceptions
sample_0040,apache/commons-compress,b7ba0ced5c950e59214329ae7b102783a5807d2c,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFileOptions.java,class,SevenZFileOptions,@Deprecated public class SevenZFileOptions,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Add SevenZFile.builder(), add SevenZFile.Builder, deprecate constructors"
sample_0041,apache/commons-compress,499b22b9e553e58d445e68a4787202e61d81ad3e,src/main/java/org/apache/commons/compress/utils/FileNameUtils.java,method,getBaseName,@Deprecated public static String getBaseName(final String fileName),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate unused method FileNameUtils.getBaseName(String)
sample_0042,apache/commons-compress,8690f549beb52ab49bf8bf778f2c4da9670346b4,src/main/java/org/apache/commons/compress/utils/ChecksumCalculatingInputStream.java,class,ChecksumCalculatingInputStream,@Deprecated public class ChecksumCalculatingInputStream extends CheckedInputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate ChecksumCalculatingInputStream in favor of java.util.zip.CheckedInputStream
sample_0043,apache/commons-compress,8690f549beb52ab49bf8bf778f2c4da9670346b4,src/main/java/org/apache/commons/compress/utils/ChecksumCalculatingInputStream.java,method,getValue,@Deprecated public long getValue(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate ChecksumCalculatingInputStream in favor of java.util.zip.CheckedInputStream
sample_0044,apache/commons-compress,cf88875456e9f0230bb0dedb40a801cf8474d51b,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,ntfsTimeToDate,@Deprecated public static Date ntfsTimeToDate(final long ntfsTime),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reuse commons-io, don't duplicate class FileTimes (deprecated TimeUtils methods)"
sample_0045,apache/commons-compress,cf88875456e9f0230bb0dedb40a801cf8474d51b,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,ntfsTimeToFileTime,@Deprecated public static FileTime ntfsTimeToFileTime(final long ntfsTime),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reuse commons-io, don't duplicate class FileTimes (deprecated TimeUtils methods)"
sample_0046,apache/commons-compress,cf88875456e9f0230bb0dedb40a801cf8474d51b,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,method,toDate,@Deprecated public static Date toDate(final FileTime fileTime),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reuse commons-io, don't duplicate class FileTimes (deprecated TimeUtils methods)"
sample_0047,apache/commons-compress,da84b77c32d77f69a9aa0eb427e3a9ba09490188,src/main/java/org/apache/commons/compress/utils/BoundedInputStream.java,class,BoundedInputStream,@Deprecated public class BoundedInputStream extends org.apache.commons.io.input.BoundedInputStream,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reuse commons-io, don't duplicate class BoundedInputStream (deprecated class)"
sample_0048,apache/commons-compress,97078adb4b4a4727a694195d134071f84b834609,src/main/java/org/apache/commons/compress/utils/ArchiveUtils.java,method,isEqual,"@Deprecated public static boolean isEqual(final byte[] buffer1, final byte[] buffer2)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Reuse Arrays.equals(byte[], byte[]) and deprecate ArchiveUtils.isEqual(byte[], byte[])"
sample_0049,apache/commons-compress,856a540d3eeb463527c509853f4d205f4adc272f,src/main/java/org/apache/commons/compress/utils/IOUtils.java,method,closeQuietly,@Deprecated public static void closeQuietly(final Closeable c),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Resue commons-io
sample_0050,apache/commons-compress,856a540d3eeb463527c509853f4d205f4adc272f,src/main/java/org/apache/commons/compress/utils/IOUtils.java,method,copy,"@Deprecated public static void copy(final File sourceFile, final OutputStream outputStream) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Resue commons-io
sample_0051,apache/commons-compress,856a540d3eeb463527c509853f4d205f4adc272f,src/main/java/org/apache/commons/compress/utils/IOUtils.java,method,copyRange,"@Deprecated public static long copyRange(final InputStream input, final long len, final OutputStream output) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Resue commons-io
sample_0052,apache/commons-compress,adda4c1829aaae45939e370f47b478ef7f3e7e33,src/main/java/org/apache/commons/compress/harmony/pack200/Pack200Adapter.java,method,completed,protected void completed(final double value) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-632,Fixes for CPIO bugs
sample_0053,apache/commons-compress,adda4c1829aaae45939e370f47b478ef7f3e7e33,src/main/java/org/apache/commons/compress/utils/ExactMath.java,method,add,"public static int add(final int x, final long y)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-632,Fixes for CPIO bugs
sample_0054,apache/commons-compress,75e1b57566e05453829528e007857ad86c607d78,src/main/java/org/apache/commons/compress/changes/Change.java,class,Change,class Change<E extends ArchiveEntry>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add generics to ChangeSet and ChangeSetPerformer
sample_0055,apache/commons-compress,75e1b57566e05453829528e007857ad86c607d78,src/main/java/org/apache/commons/compress/changes/ChangeSetPerformer.java,class,ChangeSetPerformer,"public class ChangeSetPerformer<I extends ArchiveInputStream<E>, O extends ArchiveOutputStream<E>, E extends ArchiveEntry>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add generics to ChangeSet and ChangeSetPerformer
sample_0056,apache/commons-compress,4fb9620098f81ed68167b298cb1f5f1cd31d0563,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java,method,putArchiveEntry,@Deprecated public void putArchiveEntry(final ArchiveEntry archiveEntry),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add SevenZOutputFile.putArchiveEntry(SevenZArchiveEntry) and deprecate putArchiveEntry(ArchiveEntry)
sample_0057,apache/commons-compress,6c20f8b1226cc7dd55bae98b224bb87795390b75,src/main/java/org/apache/commons/compress/compressors/FileNameUtil.java,method,getCompressedFilename,@Deprecated public String getCompressedFilename(final String fileName),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add FileNameUtil.getCompressedFileName(String) and deprecate getCompressedFilename(String)
sample_0058,apache/commons-compress,6c20f8b1226cc7dd55bae98b224bb87795390b75,src/main/java/org/apache/commons/compress/compressors/FileNameUtil.java,method,getUncompressedFilename,@Deprecated public String getUncompressedFilename(final String fileName),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add FileNameUtil.getCompressedFileName(String) and deprecate getCompressedFilename(String)
sample_0059,apache/commons-compress,6c20f8b1226cc7dd55bae98b224bb87795390b75,src/main/java/org/apache/commons/compress/compressors/FileNameUtil.java,method,isCompressedFilename,@Deprecated public boolean isCompressedFilename(final String fileName),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add FileNameUtil.getCompressedFileName(String) and deprecate getCompressedFilename(String)
sample_0060,apache/commons-compress,39da8401b4c47fe99f6ebeed3503a89bea5f614d,src/main/java/org/apache/commons/compress/utils/TimeUtils.java,class,TimeUtils,public final class TimeUtils,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Javdoc
sample_0061,apache/commons-compress,650ad0555e3702177c7403544ae8850f4ebbc9b1,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZArchiveEntry.java,method,getCreationDate,public Date getCreationDate(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-614,Use FileTime in SevenZArchiveEntry
sample_0062,apache/commons-compress,650ad0555e3702177c7403544ae8850f4ebbc9b1,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZArchiveEntry.java,method,getLastModifiedDate,@Override public Date getLastModifiedDate(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-614,Use FileTime in SevenZArchiveEntry
sample_0063,apache/commons-compress,650ad0555e3702177c7403544ae8850f4ebbc9b1,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZArchiveEntry.java,method,getAccessDate,public Date getAccessDate(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-614,Use FileTime in SevenZArchiveEntry
sample_0064,apache/commons-compress,c5977e11d5b1d25d59845bff69f92658be64416d,src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java,method,getRawInputStream,public InputStream getRawInputStream(final ZipArchiveEntry ze) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-623,make ZipFile's getRawInputStream usable when local headers are not read
sample_0065,apache/commons-compress,b7f0cbb63ac7a622dd985e2923193c9a59858f42,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveEntry.java,method,getModTime,public Date getModTime(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-612,improve TAR support for file times
sample_0066,apache/commons-compress,b30738c974b7c960e463e60afe698c0b1f235a29,src/main/java/org/apache/commons/compress/archivers/examples/Expander.java,method,expand,"public void expand(final ArchiveInputStream archive, final File targetDirectory) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Expander example now has NIO Path versions of IO File APIs.
sample_0067,apache/commons-compress,f2b68e96847fc6a3af50cab63f4619331633c3d9,src/main/java/org/apache/commons/compress/utils/IOUtils.java,method,copy,"public static long copy(final InputStream input, final OutputStream output, final int buffersize) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"In most IOUtil methods,the target may be null to simulate output to dev/null on Linux and NUL on Windows."
sample_0068,apache/commons-compress,f2b68e96847fc6a3af50cab63f4619331633c3d9,src/main/java/org/apache/commons/compress/utils/IOUtils.java,method,copyRange,"public static long copyRange(final InputStream input, final long len, final OutputStream output, final int buffersize) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"In most IOUtil methods,the target may be null to simulate output to dev/null on Linux and NUL on Windows."
sample_0069,apache/commons-compress,39abfb17b02acd7d07b0c3ff5bac666a7bd35ea7,src/main/java/org/apache/commons/compress/archivers/examples/Archiver.java,method,create,"public void create(final ArchiveOutputStream target, final File directory) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused exceptions.
sample_0070,apache/commons-compress,39abfb17b02acd7d07b0c3ff5bac666a7bd35ea7,src/main/java/org/apache/commons/compress/archivers/examples/Expander.java,method,expand,"public void expand(final ArchiveInputStream archive, final File targetDirectory) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused exceptions.
sample_0071,apache/commons-compress,39abfb17b02acd7d07b0c3ff5bac666a7bd35ea7,src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZOutputFile.java,method,createArchiveEntry,"public SevenZArchiveEntry createArchiveEntry(final File inputFile, final String entryName)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Remove unused exceptions.
sample_0072,apache/commons-compress,e716544cda2457e73d10d9b32ae939d6f7b11461,src/main/java/org/apache/commons/compress/harmony/unpack200/Archive.java,method,Archive,"public Archive(final InputStream inputStream, final JarOutputStream outputStream)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix some generics. Remove unused exceptions deep in pack200 (maintains binary compatibility but not source compatibility).
sample_0073,apache/commons-compress,e716544cda2457e73d10d9b32ae939d6f7b11461,src/main/java/org/apache/commons/compress/harmony/unpack200/Segment.java,method,writeJar,public void writeJar(final JarOutputStream out) throws IOException,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix some generics. Remove unused exceptions deep in pack200 (maintains binary compatibility but not source compatibility).
sample_0074,apache/commons-compress,e716544cda2457e73d10d9b32ae939d6f7b11461,src/main/java/org/apache/commons/compress/harmony/unpack200/SegmentHeader.java,method,readFully,"private void readFully(final InputStream in, final byte[] data) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix some generics. Remove unused exceptions deep in pack200 (maintains binary compatibility but not source compatibility).
sample_0075,apache/commons-compress,d0af873e77d16f41edfef7b69da5c8c35c96a650,src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java,method,parsePaxHeaders,"@Deprecated protected static Map<String, String> parsePaxHeaders(final InputStream inputStream, final List<TarArchiveStructSparse> sparseHeaders, final Map<String, String> globalPaxHeaders) throws IOException",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,make sure PAX header value fits into the size of the current entry
sample_0076,apache/commons-compress,9450bcc7eefa2d6acf1bdbf49740934a6426cf5e,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveEntry.java,method,getRealSize,public long getRealSize(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,properly document difference between tar getSize and getRealSize ...
sample_0077,apache/commons-compress,ecf514b46342c783586c2703a5b0f371092933c3,src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java,method,parsePAX01SparseHeaders,protected static List<TarArchiveStructSparse> parsePAX01SparseHeaders(String sparseMap),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-575,harden parser of PAX 0.1 GNU sparse map
sample_0078,apache/commons-compress,b86feb61e7d96e36c9348b4c4ac9ead331fc714a,src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,method,canReadEntryData,@Override public boolean canReadEntryData(final ArchiveEntry ae),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COMPRESS-560,Do not return false if the entry is a tar sparse entry
